X,Y,OBJECTID_1,OBJECTID,NAME,GIS_ID,SSL,ADDRESS,PHONE,BFC,AMBULANCE,RESCSQUAD,MEDICUNIT,TRUCK,SPECIALTY,DETAIL,TYPE,ENGINE,BATTALION,RENSTATUS,AID,REL_UNITS,WEB_URL
-77.005147424003368,38.830894994105527,1,33.00000000,Engine 33 Station,Fire_032,,101 ATLANTIC STREET SE,(202) 673-3233,0,33.00000000,0.00000000,25.00000000,8.00000000,,,Other Station,33.00000000,3.00000000,OPEN,294471.00000000,,http://app.fems.dc.gov/details.asp?cid=77
-77.049798131959378,38.9054942897667,2,1.00000000,Engine 1 Station,Fire_026,0050    0822,2225 M STREET NW,(202) 673-3201,0,0.00000000,0.00000000,1.00000000,2.00000000,Twinned Agent Unit 2,,Other Station,1.00000000,6.00000000,OPEN,294540.00000000,,http://app.fems.dc.gov/details.asp?cid=45
-77.019486694363479,38.897074068143674,3,2.00000000,Engine 2 Station,Fire_022,0488    0833,500 F STREET NW,(202) 673-3202,0,0.00000000,1.00000000,0.00000000,0.00000000,"EMS 1-6, EMS 5, RS-1 Support Unit w/small boat, FCU ,FFD","EMS Supervisor 1-6, EMS Supervisor 5, Office of the Firefighting DFC, Mobile Command Unit, Rescue Squad 1, RS-1 High-angle Rescue, Swift Water Rescu",Other Station,2.00000000,6.00000000,OPEN,299998.00000000,,http://app.fems.dc.gov/details.asp?cid=46
-77.010900428414601,38.895834462873715,4,3.00000000,Engine 3 Station,Fire_035,0630 0833,439 NEW JERSEY AVENUE NW,(202) 673-3203,0,0.00000000,0.00000000,3.00000000,0.00000000,,,Other Station,3.00000000,6.00000000,OPEN,237163.00000000,,http://app.fems.dc.gov/details.asp?cid=47
-77.025025187837059,38.923396559571565,5,4.00000000,Engine 4 Station,Fire_011,2882    1036,2531 SHERMAN AVENUE NW,(202) 673-3204,0,0.00000000,0.00000000,4.00000000,0.00000000,AIR 1,"Safety Officer, Special Operations Office, Special Operations BC, Special Operations DC, Mask Room",Other Station,4.00000000,4.00000000,OPEN,232303.00000000,,http://app.fems.dc.gov/details.asp?cid=48
-77.068435882222829,38.911437935332167,6,5.00000000,Engine 5 Station,Fire_018,1277    0805,3412 DENT PLACE NW,(202) 673-3205,0,0.00000000,0.00000000,5.00000000,0.00000000,"Rehab Unit, Rehab Support Unit, CU",,Other Station,5.00000000,5.00000000,OPEN,294568.00000000,,http://app.fems.dc.gov/details.asp?cid=49
-77.01607757351637,38.907690572803503,7,6.00000000,Engine 6 Station,Fire_028,,1300 NEW JERSEY AVENUE NW,(202) 673-3206,0,6.00000000,0.00000000,0.00000000,4.00000000,,EMS Equipment Office,Other Station,6.00000000,1.00000000,OPEN,294514.00000000,,http://app.fems.dc.gov/details.asp?cid=50
-77.011229779233659,38.876928634217677,8,7.00000000,Engine 7 Station,Fire_021,,1101 HALF STREET SW,(202) 673-3207,0,7.00000000,0.00000000,0.00000000,0.00000000,,,Other Station,7.00000000,2.00000000,OPEN,277735.00000000,,http://app.fems.dc.gov/details.asp?cid=51
-76.982943582253171,38.885539857826345,9,8.00000000,Engine 8 Station,Fire_019,1073    0806,1520 C STREET SE,(202) 673-3208,2,8.00000000,0.00000000,8.00000000,0.00000000,"EMS 2, AIR 2,MEDIC UNIT 35,",Emergency Medical Supervisor 2,Other Station,8.00000000,2.00000000,OPEN,289723.00000000,,http://app.fems.dc.gov/details.asp?cid=52
-77.037525534144422,38.917296469331681,10,9.00000000,Engine 9 Station,Fire_025,0175    0826,1617 U STREET NW,(202) 673-3209,0,28.00000000,0.00000000,0.00000000,0.00000000,,,Other Station,9.00000000,4.00000000,OPEN,241846.00000000,,http://app.fems.dc.gov/details.asp?cid=53
-76.986694200183052,38.901587311968029,11,10.00000000,Engine 10 Station,Fire_029,,1342 FLORIDA AVENUE NE,(202) 673-3210,0,0.00000000,0.00000000,0.00000000,13.00000000,,,Other Station,10.00000000,1.00000000,OPEN,294519.00000000,,http://app.fems.dc.gov/details.asp?cid=54
-77.033062592163617,38.932246490817207,12,11.00000000,Engine 11 Station,Fire_012,2678    0844,3420 14TH STREET NW,(202) 673-3211,4,11.00000000,0.00000000,0.00000000,6.00000000,EMS 4-5,EMS Supervisor 4-5,Other Station,11.00000000,4.00000000,OPEN,234580.00000000,,http://app.fems.dc.gov/details.asp?cid=55
-76.999184504315025,38.919913555740621,13,12.00000000,Engine 12 Station,Fire_030,,2225 5TH STREET NE,(202) 673-3212,1,12.00000000,0.00000000,12.00000000,0.00000000,"Rapid Response Non-Transport Medic 12, HazMat Unit, HazMat Support",,Other Station,12.00000000,1.00000000,OPEN,294541.00000000,,http://app.fems.dc.gov/details.asp?cid=56
-77.008293639333587,38.948866304974757,14,14.00000000,Engine 14 Station,Fire_002,PAR 01240155,4801 NORTH CAPITOL STREET NE,(202) 673-3214,0,0.00000000,0.00000000,14.00000000,0.00000000,,,Other Station,14.00000000,1.00000000,OPEN,288276.00000000,,http://app.fems.dc.gov/details.asp?cid=58
-76.986072848081122,38.8648654596904,15,15.00000000,Engine 15 Station,Fire_031,,2101 14TH STREET SE,(202) 673-3215,3,15.00000000,3.00000000,15.00000000,0.00000000,"Cave-in Unit, RS-3 Support Unit w/small boat","Rescue Squad 3, RS-3 Trench/Collapse Rescue, Swift Water Rescue, HazMat Ops, Cave-in Unit Support Unit,",Other Station,15.00000000,3.00000000,OPEN,156246.00000000,,http://app.fems.dc.gov/details.asp?cid=59
